
Q4167410,"Wikimedia disambiguation page"
Q5032501,"Canjica"
Q15407973,"Wikimedia disambiguation category page"
Q22808320,"human name disambiguation page"
Q28065731,"duplicated disambiguation page"

Q101352, "family name"
Q10438042, "bus company"
Q1058914, "software house"
Q11032, "newspaper"
Q1110794, "daily newspaper"
Q11424, "film"
Q11446, "ship"
Q11707, "restaurant"
Q11879590, "female given name"
Q11921029, "music style"
Q1229765, "watercraft"
Q12308941, "male given name"
Q124734, "rebellion (act)"
Q1261499, "naval battle"
Q12737077, "occupation"
Q12859788, "steamship"
Q13002315, "legendary figure"
Q131207, "cosmetics"
Q13393265, "basketball team"
Q13406463, "Wikimedia list article"
Q13417114, "noble family"
Q1344, "opera"
Q1346006, "international sport governing body"
Q1427887, "meat product"
Q1428357, "submarine class"
Q15622363, "sheep breed"
Q15632617, "fictional human"
Q15912738, "witch in the Oz universe"
Q15991303, "national association football league"
Q162244, "hero" 
Q16521, "taxon"
Q166142, "application"
Q17624054, "deity in fictional work"
Q178561, "battle"
Q178885, "deity"
Q18534542, "restaurant chain"
Q18679117, "potato dish"
Q188451, "music genre"
Q190, "God"
Q20087698, "comic genre"
Q20202269, "music term"
Q20643955, "human biblical figure"
Q20750954, "fictional region"
Q2088357, "musical ensemble"
Q2095, "food"
Q209939, "live album"
Q210167, "video game developer"
Q21070568, "human who may be fictional"
Q21191068, "Philippine TV series"
Q215380, "band"
Q216353, "title"
Q2207288, "craft"
Q222910, "compilation album"
Q2235308, "ship type"
Q23038290, "fossil taxon"
Q23691, "national anthem"
Q23847174, "religious concept"
Q24334893, "mythical place"
Q26971562, "comic format"
Q28061975, "group of Greek mythical characters"
Q28640, "profession"
Q2882257, "Indian band"
Q299191, "chess variant"
Q3024240, "former country"
Q31338769, "alternative medical treatment"
Q31629, "type of sport"
Q32489, "knife"
Q32880, "architectural style"
Q34760007, "mythological ship"
Q34770, "language"
Q355567, "royal or noble rank"
Q40050, "drink"
Q40231, "election"
Q41298, "magazine"
Q41425, "ballet"
Q41710, "ethnic group"
Q4204501, "historical ethnical group"
Q431289, "brand"
Q43229, "organization"
Q476028, "association football team"
Q482994, "album"

Q483247, "phenomenon"
Q4936952, "anatomical structure"
Q49773, "social movement"
Q5, "human"
Q502895, "common name"
Q5398426, "television series"
Q5398426,television series
Q571, "book"
Q581450, "fallen angel"
Q662073, "French opera"
Q6663, "hamburger"
Q7278, "political party"
Q7366, "song"
Q7397, "software"
Q7452919, "Serbian names"
Q746549, "dish"
Q79529, "chemical substance"
Q811979, "architectural structure"
Q9174, "religion"
Q9415, "emotion"
Q95074, "fictional character"
Q951964, "food product"
Q979507, "Hindu deity"


# --- comments:
# Q4830453, "business enterprise"     :::  Some Airports is tagged with  "business enterprise" 
