### Q5195043, borough : _wdadd_ 
Q5195043,borough
Q211690,London borough
Q1006876,borough in the United Kingdom
Q518343,municipal borough
Q1002812,metropolitan borough
Q4272761,administrative city of Indonesia
Q4946305,borough in the United States
Q408804,borough of New York City
Q777120,borough of Pennsylvania
Q2911266,borough of New Jersey
Q4946304,borough of Connecticut
Q4946361,Boroughs of Canada
Q13410522,borough of Alaska
Q19905455,borough
Q578521,borough of Montreal
Q23953065,local urban district
