Q515,city
Q3957,town
Q5119,capital
Q22865,independent city
Q57318,Free imperial city
Q62049,county seat
Q104157,city of the Philippines
Q133442,city-state
Q134626,district capital
Q148837,polis
Q159438,Hero City
Q174844,megacity
Q183342,federal city of Russia
Q200209,cities of Ukraine
Q200250,metropolis
Q205181,offshore financial centre
Q208511,global city
Q244793,twin cities
Q257391,federal capital
Q257978,statutory city
Q317548,resort town
Q377283,temporary capital
Q428986,Linear city
Q442799,faubourg
Q474164,Boomtown
Q494721,city of Japan
Q498604,city in Gabon
Q537250,federal city
Q652360,sustainable city
Q677678,fortified town
Q681277,city with county rights
Q748149,prefecture-level city
Q756780,colonia
Q810652,Bastide
Q820254,mining community
Q896881,city with tens of thousands of inhabitants
Q902814,border town
Q925381,city with powiat rights
Q990488,Luftkurort
Q1025961,capital of Japan
Q1066538,National Central City
Q1066984,financial centre
Q1094397,autonomous city
Q1137833,core city of Japan
Q1145012,special city of Japan
Q1180262,residenz
Q1187811,college town
Q1266029,Edge city
Q1266818,independent city
Q1269749,town with fewer than 5000 inhabitants
Q1319414,Mueang
Q1357964,county town
Q1375749,Europastadt
Q1422929,primate city
Q1526889,Moorheilbad
Q1547289,Luther city
Q1549591,big city
Q1595408,climatic health resort
Q1637706,city with millions of inhabitants
Q1656724,ideal city
Q1662118,Industriestadt
Q1749269,city designated by government ordinance
Q1835354,Garnizoensstad
Q1968403,post town
Q1989945,agro-town
Q2089229,city in Alberta
Q2138558,regiopolis
Q2202509,Roman city
Q2235075,centre city
Q2264924,port city
Q2264955,Seeheilbad
Q2327515,city district
Q2393184,hill station
Q2561694,city-kingdom of Cyprus
Q2937441,European Youth Capital
Q2974842,lost city
Q3199141,city of Indonesia
Q3249005,provincial city of Vietnam
Q3559093,Sanctuary city
Q3559100,ville aux cent clochers
Q4442912,capital of Russia
Q4826725,automotive city
Q4875694,Beach Cities
Q4943467,Boomburb
Q4946461,spa town
Q5107861,Medieval commune
Q5123997,city of federal subject significance of Russia
Q5123999,city of regional significance of Ukraine
Q5124045,city with special status
Q5770918,city of Argentina
Q6643740,town in Manitoba
Q6882870,location with spa
Q7251867,Proto-city
Q7574798,special city of North Korea
Q7819319,municipio con poder ampliado
Q10571400,köping
Q11271835,state capital
Q12015578,Urban municipality
Q12102963,city specifically designated in the state plan
Q12131624,city in Ukraine
Q12131640,city of district significance
Q12159392,Seven Cities of Delhi
Q12350930,Kneippkurort
Q13218690,town status in Hungary
Q14616455,destroyed city
Q14770218,cantonal capital of Switzerland
Q14784328,state capital in Germany
Q15063600,home rule city of Michigan
Q15092400,independent city
Q15105893,city of Croatia
Q15127012,town of the United States
Q15127838,city under state jurisdiction in Latvia
Q15219391,town in Alberta
Q15260353,host city
Q15344922,oblast seat
Q15411644,town of Virginia
Q15584664,city under municipality jurisdiction in Latvia
Q15647906,city of Portugal
Q15661340,ancient city
Q15849630,Sun City
Q15978299,municipality with town privileges
Q16133394,עיר מוקפת חומה מימות יהושע בן נון
Q16137862,Крепость-герой
Q16645554,Дом губернатора
Q16825568,Caravan city
Q16858213,town in Romania
Q16933701,Principal city
Q17352050,autonomous city of Spain
Q18343163,List of cities in the Czech Republic
Q18398645,types of towns and cities in Russia
Q18477590,list of Brazilian cities that have a second round of municipal elections
Q18511725,market town
Q19507642,курортный посёлок
Q19833170,town of Portugal
Q19974058,groeistad
Q20645909,locality with the main parish church
Q20899166,regional capital
Q20909618,sunken city
Q21012165,internationaal gedeelde stad
Q21507383,provincial or territorial capital city in Canada
Q21518270,state or insular area capital in the United States
Q21550633,garden city
Q21583365,urban municipality of Estonia
Q21856567,agro-town
Q21857891,Swedish city
Q21877233,Italian Capital of Culture
Q24700892,post town
Q27161247,Capitale italiana della cultura 2016
Q27161628,Capitale italiana della cultura 2017
Q27161724,Capitale italiana della cultura 2015
Q27554677,former capital
Q27554850,city in Chile
Q28053439,Obvod obce s rozšířenou působností Chrudim
Q28659128,city of North Korea
Q29045252,city of South Korea
Q29556224,City in Cyprus
Q29946056,highly urbanized city
Q34843301,capital of  județ in Romania
