

Q6256,country
Q3624078,sovereign state
Q15634554, state with limited recognition

Q112099,island nation
Q123480,landlocked country
Q132453,developed country
Q15634554,state with limited recognition
Q160016,member state of the United Nations
Q1763527,constituent country
Q19202067,global empire
Q202686,Commonwealth realm
Q21512251,self-proclamed state
Q28864179,proposed country
Q3336843,country of the United Kingdom
Q48349,empire


# not need .. but related to "country"
#Q1010624,Boer Republics
#Q1191549,Danish Realm
#Q1211369,the empire on which the sun never sets
#Q1309121,Hermit kingdom
#Q1311832,Zeta
#Q1323642,transcontinental country
#Q13446615,bureaucratic empire
#Q1366407,hydraulic empire
#Q1501897,Generality Lands
#Q15304003,country of the Kingdom of the Netherlands
#Q1538989,megadiverse countries
#Q160381,western world
#Q1625987,bantustan of South West Africa
#Q1679711,Modellstaat
#Q177323,developing country
#Q1790360,colonial empire
#Q179671,nation state
#Q18669740,South African bantustan
#Q190354,bantustan
#Q2495771,nomadic empire
#Q30148434,country of spy
#Q30148472,country of scout
#Q3024240,former country
#Q3181749,Arab Caliphate
#Q331644,khanate
#Q3373662,Pays francophone
#Q42090655,host country
#Q43185013,maritime republic
#Q4818345,historical unrecognized state
#Q5367717,shinkoku
#Q6688521,permanent member of the United Nations Security Council
#Q836688,ancient Chinese state
#Q887803,Bruneian Empire


# ---- candidates - for the "special" countries 
# Q734818, condominium   -- Need for Antartica
# Q779415, province-level autonomous subdivision in the People's Republic of China  , --  for Hong Kong
# Q133442, city-state ,  independent or autonomous entity whose territory consists of a city  -
# Q245065, intergovernmental organization , for United
# Q15634554, state with limited recognition
