### Q161243, dependent territory : _wdadd_ 
Q161243,dependent territory
Q46395,British Overseas Territories
Q133156,colony
Q175358,Swedish overseas colonies
Q179023,French colonial empire
Q179997,Thirteen Colonies
Q200464,Portuguese Empire
Q302132,Danish colonial empire
Q303598,Austrian colonies
Q575878,Scottish colonization of the Americas
Q617219,English overseas possession
Q6841282,Middle Colonies
Q7007213,New England Colonies
Q7569779,Southern Colonies
Q756780,colonia
Q815524,Belgian colonial empire
Q926295,Italian Empire
Q983678,Russian imperialism
Q1094394,Colonies in antiquity
Q1140316,penal colony
Q1351282,crown colony of the British Empire
Q6841282,Middle Colonies
Q7569779,Southern Colonies
Q1782789,Stato da Màr
Q2153453,Italian North Africa
Q2178898,British colonial empire
Q2523837,Brandenburg colonial empire
Q3407580,proprietary colony
Q7201599,plantation
Q7448101,self-governing colony of the British Empire
Q16148626,dominion of Sweden
Q54913594,núcleo colonial
Q69391739,Greek colony
Q618846,apoikia
Q655593,emporia
Q164142,protectorate
Q426759,League of Nations mandate
Q21479969,British protectorate
Q182547,Roman province
Q1721703,imperial province
Q2142527,senatorial province
Q185086,Crown dependency
Q223832,dominion of the British Empire
Q462778,insular area
Q609591,Commonwealth
Q719487,French overseas collectivity
Q3078827,overseas country of France
Q734818,condominium
Q351532,Gemeine Herrschaft
Q2039547,pareatges
Q2051473,Paréage
Q783733,unincorporated territory
Q609591,Commonwealth
Q1685108,Baltic governorates
Q1993723,administrative territorial entity of the Ottoman Empire
Q44565,eyalet
Q330425,sanjak
Q935921,Qadaa
Q1462047,vilayet of the Ottoman Empire
Q2800279,Six vilayets
Q1564271,Nahiye (Ottoman)
Q2003543,Kadiluk
Q11938128,Mutasarrıf
Q2577883,occupied territory
Q190967,Crusader states
Q543813,Reichskommissariat
Q575187,Israeli-occupied territories
Q582706,Israeli settlement
Q2908791,Israeli outpost
Q1351282,crown colony of the British Empire
Q2748708,German military administration in occupied France during World War II
Q8731159,occupation zone
Q2570590,Italian occupation of France during World War II
Q12404888,ruling block
Q20724849,general governorate of Nazi Germany
Q5260616,dependency of Norway
Q10301251,Ilhas Adjacentes
Q15379753,British Dependent Territory
Q17147964,administrative territorial entity of the Spanish Empire
Q4712904,Alcaldía mayor
Q5036886,Captaincies of the Spanish Empire
Q5589761,governorate of the Spanish Empire
Q5918768,intendancy of the Spanish Empire
Q5650347,intendancy of Chile
Q17259945,province of the Spanish Empire
Q7252696,Provincial deputation in Spanish America
Q20203507,viceroyalty of the Spanish Empire
Q77270949,partido of the Spanish Empire
Q48834899,special administrative region
Q779415,special administrative region of China
Q7574781,special administrative region of the Republic of China
Q89719188,dependent territory of New Zealand
Q90696277,European colonies in Africa
Q1192403, Concession , _wdtcopy_ 
Q2533461, autonomous administrative territorial entity , _wdtcopy_ 
Q1048835, political territorial entity  , _wdtcopy_ 
