### Q15239622, disputed territory : _wdadd_ 
Q15239622,disputed territory
Q773403,no man's land
Q15634554,state with limited recognition
Q1642488,chiefdom
Q284663,Umphakatsi
Q2962054,traditional chiefdom in Cameroon
Q16636799,Foto
Q3456497,Italian Partisan Republics
Q21512251,self-proclaimed state
Q99541706,historical unrecognized state
Q190354,bantustan
Q1625987,bantustan of South West Africa
Q18669740,South African bantustan
Q2387481,list of Indonesian monarchies
Q5402094,Barbarian kingdoms
Q3446291,Royaumes goths
Q103948645,List of Indonesian monarchies
### Q2577883, occupied territory : _wdadd_ 
Q2577883,occupied territory
Q190967,Crusader states
Q543813,Reichskommissariat
Q575187,Israeli-occupied territories
Q582706,Israeli settlement
Q2908791,Israeli outpost
Q1351282,crown colony of the British Empire
Q6841282,Middle Colonies
Q7569779,Southern Colonies
Q2748708,German military administration in occupied France during World War II
Q8731159,occupation zone
Q2570590,Italian occupation of France during World War II
Q12404888,ruling block
Q20724849,general governorate of Nazi Germany
### Q312461, terra nullius : _wdadd_ 
Q312461,terra nullius
Q900119,United Nations list of Non-Self-Governing Territories
