Q23442,island 
Q42523,atoll 



Q13691,artificial island
Q91759,Crannog
Q162602,river island
Q202199,inland island
Q207524,islet
Q216851,skerry
Q503481,cay
Q555937,tidal island
Q863974,lake island
Q1065592,desert island
Q1161185,high island
Q1205140,barrier island
Q1226252,tied island
Q1271762,Düneninsel
Q1324426,coral island
Q1422391,Island resort
Q1471571,Island castle
Q1870237,Arbeitsinsel
Q1973360,Nebeninsel
Q2984210,private island
Q7285116,raised coral atoll
Q9433297,冲积岛
Q10549487,Kronoholme islands
Q10769552,motu
Q12826863,continental island
Q14210504,Central Line Islands
Q16853632,Q16853632
Q17308006,island of Japan
Q29968027,majakkasaari
Q29968665,fortress island
Q41791782,island of Portugal


Q42523,"atoll"
Q757549,"atoll of the Maldives"
Q15629617,"unorganized atoll of American Samoa"
