### Q486972, human settlement : _wdadd_ 
Q486972,human settlement
Q515,city
Q5119,capital
Q257391,federal capital
Q377283,temporary capital
Q1557068,Ndumba
Q2324785,Amsterdam as a gay capital
Q3147563,regency seat
Q4442912,capital of Russia
Q11271835,state capital
Q14784328,state capital in Germany
Q21507383,provincial or territorial capital city in Canada
Q21518270,state or insular area capital in the United States
Q12031379,capital of region
Q14770218,cantonal capital of Switzerland
Q15840617,Planned Capital
Q16321430,auxiliary capital
Q65589340,capital of a prefecture of Japan
Q18702,Royal free city
Q22865,independent city of Germany
Q2327515,city district of Baden-Württemberg
Q61708053,independent city of Saxony-Anhalt
Q61708099,urban district in Saxony
Q61747322,urban district of Thuringia
Q61793478,urban district of Brandenburg
Q61856863,urban district in Schleswig-Holstein
Q61980648,urban district of Hesse
Q85631896,urban district of Bavaria
Q85632032,urban district of Rhineland-Palatinate
Q85635301,urban district of Mecklenburg-Vorpommern
Q85635630,urban district of North Rhine-Westphalia
Q85635638,urban district of Bremen
Q85635929,urban district of Lower Saxony
Q85636059,urban district of Berlin
Q85636199,urban district of Lower Hamburg
Q57318,Free imperial city
Q83020,provincial city
Q104157,city of the Philippines
Q29946056,highly urbanized city
Q133442,city-state
Q148837,polis
Q733149,Socii
Q742313,Sardinian Judicati
Q914425,Signoria
Q1319414,Mueang
Q2479824,altepetl
Q2561694,city-kingdom of Cyprus
Q43185013,maritime republic
Q200209,cities of Ukraine
Q5124045,city with special status
Q12131640,city of district significance
Q208511,global city
Q250811,sub-province-level division
Q1050126,State-level new areas of the People's Republic of China
Q262882,statutory city of Austria
Q428986,Linear city
Q474164,Boomtown
Q482810,special city
Q7574799,special city of South Korea
Q482821,metropolitan city of South Korea
Q494721,city of Japan
Q1137833,core city of Japan
Q1145012,special city of Japan
Q1749269,city designated by government ordinance
Q537250,federal city
Q652360,sustainable city
Q677678,fortified town
Q16537979,castelliere
Q63390901,ville close
Q707813,Hanseatic city
Q713146,County-administered city
Q748149,prefecture-level city
Q810652,bastide
Q896881,city with tens of thousands of inhabitants
Q909458,jōkamachi
Q925381,city with powiat rights
Q1066538,National Central City
Q1093829,city of the United States
Q604886,charter city of the United States
Q13218391,charter city
Q13218382,charter city and county
Q1266818,independent city
Q2974552,city in New Jersey
Q3301053,consolidated city-county
Q13218382,charter city and county
Q13218357,city of California
Q13218391,charter city
Q15063611,city
Q15221256,city of Wisconsin
Q15221304,first-class city
Q15221310,second-class city
Q15221370,third-class city
Q15221373,fourth-class city
Q21010817,city of Pennsylvania
