### Q123705, neighborhood : _wdadd_ 
Q123705,neighborhood
Q55116,quarter of Monaco
Q75848,gated community
Q152018,ghetto
Q519630,South African township
Q2583015,ghetto in Nazi-occupied Europe
Q6190055,Jewish ghetto in German-occupied Poland
Q51573395,Гетто в Долгиново (Вилейский район)
Q51588808,Гетто в Илье (Минская область)
Q2917049,Jewish ghetto in Europe
Q16520910,yellow-star house
Q163301,Kreisstadt Hofheim am Taunus
Q180928,Paris districts
Q201759,slum
Q693827,favela
Q8960966,favela in Rio de Janeiro
Q10280357,favela in São Paulo
Q7366200,Rookery
Q7535038,skid row
Q253019,Ortsteil
Q1852178,locality of Düsseldorf
Q15632166,city part of Cologne
Q35034452,locality of Berlin
Q62394014,Quarters of Aachen
Q79337953,Stadtteil von Kiel
Q271035,neighborhood unit
Q272888,red-light district
Q1060846,yūkaku
Q28683527,yūkaku in Shimonoseki
Q4700325,Akasen
Q11662690,aosen
Q287414,neighborhood in New York City
Q61297932,"neighborhood in Manhattan
Q61298024,"neighborhood in Queens
Q61298104,"neighborhood in Bronx
Q61298209,"neighborhood in Staten Island
