Q473972,protected area 

## subclass of "protected ara"
Q9259,World Heritage Site
Q23790,natural monument
Q46169,national park
Q62301,national park of New Zealand
Q139424,protected area of the Azores
Q158454,biosphere reserve
Q167946,national park of Brazil
Q174945,Area of Outstanding Natural Beauty
Q179049,nature reserve
Q203676,National Military Park
Q221879,national park of Honduras
Q222384,List of World Heritage in Danger
Q295404,Ecopark
Q337807,national wildlife area of Canada
Q338112,recreation area
Q375132,national park of Austria
Q393259,national park of Indonesia
Q422211,Site of Special Scientific Interest
Q445467,biological reserve
Q483423,national park of the Republic of Ireland
Q497829,national park of South Korea
Q509827,United States National Grassland
Q544008,strict nature reserve
Q612741,United States National Forest
Q619483,national park of the Czech Republic
Q626051,Natural Monument of South Korea
Q728904,nature park
Q746800,national park of Sweden
Q759421,Naturschutzgebiet
Q759882,protected landscape area
Q796174,Site of Community Importance
Q841646,national preserve
Q846385,National Wild and Scenic River
Q851043,national park of Albania
Q864912,wildlife corridor
Q893775,National Monument of the United States
Q936257,conservation area
Q936738,national park of Vietnam
Q940368,national park of Norway
Q941043,U.S. national seashore
Q941143,national park of Mexico
Q943017,national park of France
Q955236,transboundary protected area
Q1071482,national park of Japan
Q1125269,national park of India
Q1132998,National Recreation Area
Q1191622,Special Area of Conservation
Q1216731,Nemzeti park igazgatóság
Q1258086,National Historic Site
Q1277221,protected park of Manitoba
Q1296040,national parks in Ukraine
Q1316973,national park of Spain
Q1317754,national park of Poland
Q1364273,national park of South Africa
Q1367500,marine protected area
Q1377575,wildlife refuge
Q1408593,national park of Zambia
Q1410668,National Wildlife Refuge
Q1418124,protected area of the Czech Republic
Q1484173,Zapovednik
Q1510355,national park of Italy
Q1518285,geschützter Landschaftsbestandteil
Q1565555,national park of Montenegro
Q1585158,national park of Denmark
Q1612885,national park of Panama
Q1614512,ecological reserve of Quebec
Q1627961,Naturschutzgebiet
Q1684144,national park of Costa Rica
Q1689678,Schonwald
Q1701122,United States National Marine Sanctuary
Q1714375,game reserve
Q1749279,protected area of Nepal
Q1752719,national park of Namibia
Q1761072,state park
Q1790016,National park of Colombia
Q1803820,landscape park
Q1818761,regional natural park
Q1847460,national park of Paraguay
Q1863876,protected area of Nicaragua
Q1896949,National Park of Canada
Q1959314,protected area of Russia
Q1967454,National Memorial of the United States
Q1967511,National Natural Landmark
Q1968322,Nationales Naturmonument
Q1969136,national park of Ghana
Q1969187,protected area of Mozambique
Q1969226,national park of Russia
Q1969240,national park of Thailand
Q2006279,provincial park
Q2052613,Nature parks in Switzerland
Q2108855,presidential memorial in the United States
Q2303963,protected area of Tasmania
Q2404686,national park of Ecuador
Q2445527,wilderness area
Q2463705,Special Protection Area
Q2498169,protected area of New Zealand
Q2580365,national park of Pakistan
Q2714144,bird sanctuary
Q2828309,protected area of France
Q2828312,protected area of Canada
Q2828314,protected area of Quebec
Q2828315,protected area of New Brunswick
Q2828718,protected area of India
Q2828720,protected area of Sri Lanka
Q2864343,prefectoral decree for biotope protection
Q2919841,protected area of Brazil
Q2975935,protected area of Portugal
Q3031290,Antarctic Specially Protected Area
Q3046480,Easement refuge
Q3131754,national park of Guatemala
Q3220096,national park of the Netherlands
Q3252908,national park of Western Australia
Q3252913,national park of Nigeria
Q3364603,Parc naturel marin
Q3364919,protected area of Cameroon
Q3364923,national park of Quebec
Q3364927,protected area of Prince Edward Island
Q3364928,protected area of Nova Scotia
Q3364929,protected area of Ontario
Q3364930,protected areas of Saskatchewan
Q3423162,migratory bird sanctuary of Canada
Q3457112,aquatic reserve
