### Q1077097, tambon- central government unit in Thailand : _wdadd_ 
Q1077097,tambon
### Q1080224, electoral district of the Australian states and territories : _wdadd_ 
Q1080224,state electoral district
Q5356187,electoral district of Victoria
Q5356265,electoral division of the Northern Territory
Q5357209,electorate of the Australian Capital Territory
Q30155836,former state electoral district
Q30681685,Tasmanian House of Assembly electoral division
Q49540686,Tasmanian House of Assembly electoral district
Q59240972,electoral division of the Australian Capital Territory House of Assembly
### Q56061, administrative territorial entity : _wdadd_ 
Q56061,administrative territorial entity
Q7275,state
Q112099,island nation
Q1434887,Small Island Developing States
Q13107770,archipelagic state
Q123480,landlocked country
Q133442,city-state
Q148837,polis
Q618846,apoikia
Q742313,Sardinian Judicati
Q914425,Signoria
Q1319414,Mueang
Q2479824,altepetl
Q2561694,city-kingdom of Cyprus
Q4858354,barangay
Q43185013,maritime republic
Q149846,County palatine of Cephalonia and Zakynthos
Q154547,duchy
Q71747,Duchy of Brittany
Q617347,stem duchy
Q648046,United Duchies of Jülich-Cleves-Berg
Q672502,Ernestine duchies
Q691981,Duchies of Silesia
Q7398315,Saeristavo
Q57979411,ducado
Q171751,banana republic
Q179164,unitary state
Q2078819,Estado unitario descentralizado
Q22909549,unitary parliamentary republic
Q185145,great power
Q185963,neutral country
Q11130962,Permanently neutralized state/country
Q16969638,Neutral powers during World War II
Q188800,personal union
Q204920,Crown of Aragon
Q1102202,dynastic union
Q3325907,polysynodal regime
Q2308303,polysynody
Q59104206,monarquía polisinodial
Q20102312,Corona de Mallorca
Q190967,Crusader states
Q208500,principality
Q165116,grand duchy
Q627527,Danubian Principalities
Q672502,Ernestine duchies
Q691981,Duchies of Silesia
Q1939894,Upper Oka Principalities
Q2494447,part principality
Q2658979,Albanian principalities
Q2706826,Sheikhdom
Q3403564,ecclesiastical principality
Q463742,Hochstift
Q24305436,abbey-principality
Q25451717,إمارة عسير
Q27925057,Electoral Principate
Q315010,Thuringian states
Q376860,newly industrialized country
Q392160,failed state
Q1253369,downtime
Q463573,suzerainty
Q3409064,Paramountcy
Q23039102,First Toungoo Empire
Q587252,buffer state
Q4944647,Border states
Q619610,social state
Q828218,rogue state
Q836915,free state
Q842112,socialist state
Q849866,communist state
Q859563,secular state
Q1088391,rump state
Q1151405,client state
Q164142,protectorate
Q426759,League of Nations mandate
Q21479969,British protectorate
Q208164,puppet state
Q325261,satellite state
Q472538,French sister republic
Q1138279,associated state
Q7985529,West Indies Associated States
Q1371288,vassal state
Q985073,United Nations trust territory
Q1679711,Modellstaat
Q3446134,Roman client kingdoms in Britain
Q962760,Trinovantes
Q15649504,satrapy
Q3950801,satrapy of the Achaemenid Empire
Q15649510,satrapy of the Sasanian Empire
Q15649572,satrapy of the Seleucid Empire
Q2560551,Vassal and tributary states of the Ottoman Empire
Q3241965,tributary state
Q26879763,Napoleonic client state
Q26879769,state in the Confederation of the Rhine
Q1197155,hyperpower
Q1250464,realm
Q48349,empire
Q12548,Holy Roman Empire
Q598008,Imperial road
Q83311,Iranian monarchy
Q389688,Achaemenid Empire
Q1366407,hydraulic empire
Q1790360,colonial empire
Q1211369,empire on which the sun never sets
Q2067184,Bulgarian Empire
Q2495771,nomadic empire
Q12060881,Chinese Empire
Q13446615,bureaucratic empire
Q19202067,global empire
Q1211369,empire on which the sun never sets
Q131401,caliphate
Q188800,personal union
Q189898,emirate
Q331644,Khanate
Q406684,Khanates of the Caucasus
Q417175,kingdom
Q202686,Commonwealth realm
Q1798550,petty kingdom
Q741966,Swabian Circle
Q8202984,Aramean (disambiguation)
