Q39816,valley


#========================================
Q150784,"canyon"
Q963729,"submarine canyon"
Q1068071,"chasma"
Q1744266,"narrow canyon"
Q2294430,"slot canyon"
Q187971,"wadi"
Q611796,"tunnel valley"
Q649266,"U-shaped valley"
Q929061,"Urstromtal"
Q1266922,"water gap"
Q1410408,"side valley"
Q1006357,""
Q1474839,"furrow"
Q1672567,"dry valley"
Q1739217,"Kerbtal"
Q1879248,"longitudinal valley"
Q1976531,"glen"
Q2042028,"ravine"
Q2197893,"chine"
Q2248883,"dry valley"
Q2249285,"vallis"
Q2366717,"rift valley"
Q2985026,"Combe"
Q5176129,"coulee"
Q5210320,"Dale"
Q5254105,"dell"
Q5617310,"gulch"
Q5972304,"wind gap"
Q20919624,""
Q25424443,"hanging valley"
Q34207295,"wadi"
