### Q15324, body of water : _wdadd_ 
Q15324,body of water
Q9430,ocean
Q1982207,superocean
Q20018921,historic superocean
Q11802343,historic ocean
Q20018921,historic superocean
Q15910235,Ondergrondse oceaan
Q34038,waterfall
Q1105442,cataract
Q2270442,horseshoe waterfall
Q2967706,coastal waterfall
Q11626783,urami waterfall
Q12053053,artificial waterfall
Q21504956,subterranean waterfall
Q40172600,Japan's Top 100 Waterfalls
Q46867411,salto
Q46868895,salto más alto
Q60663471,tiered waterfall
Q65238607,köngäs
Q39594,bay
Q31615,cove
Q21573839,saco
Q283202,harbor
Q828909,wharf
Q2327160,kwelkade
Q2943018,Catway
Q3126266,River stop
Q3543043,quay
Q7398566,safeguarded wharf
Q1525891,typhoon shelter
Q6034850,inland harbor
Q10512405,guest harbor
Q13424466,natural harbor
Q558116,firth
Q1322134,gulf
Q4990444,lagoon
Q11859723,Flada
Q55863112,voe
Q43483,well
Q10991,Venetian Well
Q203608,Zimmerbrunnen
Q573342,Wishing well
Q890880,Bohrbrunnen
Q896318,Osterbrunnen
Q1014817,castle well
Q1054949,Ceresbrunnen
Q1397794,carnival fountain
Q1426365,tube well
Q1473950,stepwell
Q2207548,echoput
Q2297254,wellspring
Q2378580,welput
Q2421408,hollestelle
Q2453700,Trinkwassernotbrunnen
Q2517083,Willibrordusput
Q2676187,boomstamput
Q2856254,tonput
Q3410676,air well
Q3909778,nuragic holy well
Q3999608,trogolo
Q4773805,plaggenput
Q5155879,swingle water well
Q5569673,gemetselde put
Q6024781,motor de riego
Q10947367,Song Wells
Q11278157,まいまいず井戸
Q17080769,infiltration gallery
Q25389953,Studnia abisyńska
Q53628296,public water well
Q53628522,emergency water supply well
Q53628618,water well on public housing terrain
Q53629707,private water well
Q53630002,water well with own supply
Q53673499,type of water well
Q56408612,Pou amb coll
Q56408613,Pou integrat en un marge
Q56408615,Pou amb capelleta
Q69512419,artesian well
Q98141553,Pumpbrunnen
Q98437763,Dorfbrunnen
Q45776,fjord
Q11066204,Poll
Q47053,estuary
Q3059073,estuaire picard
Q47568,iceberg
Q4930097,Blue iceberg
Q16555805,growler
Q42299328,Tabular iceberg
Q124714,spring
Q83471,geyser
Q930710,Martian geyser
Q177380,hot spring
Q867648,hydrothermal vent
Q1335848,black smoker
Q2238314,mudpot
Q12384277,Baños de Cortegada
Q27966643,hot lake
Q65275065,Balneario de Caldeliñas
Q332716,overflow spring
Q590992,karst spring
Q1816468,fontaine de Vaucluse
Q3058856,Estavelle
Q3965085,Vauclusian spring
Q6961841,Vrulja
Q992837,spring box
Q1033779,Cantharus
Q1365924,mineral spring
Q655311,onsen
Q3046709,Chalybeate
Q11408869,tanjun onsen
Q11416420,含アルミニウム泉
Q11416426,含銅-鉄泉
Q11428612,塩化物泉
Q11498934,放射能泉
Q11562971,onsenkyō
Q11567142,炭酸水素塩泉
Q11587674,sulphur spring
Q11587679,硫黄泉
Q11644442,酸性泉
Q11645813,野湯
Q1371047,holy well
Q2517083,Willibrordusput
Q3909778,nuragic holy well
Q2234169,Schichtquelle
Q2252145,Schuttquelle
Q2499009,Underwater spring
Q6961841,Vrulja
Q3400208,pouhon
Q3678339,citro
Q3696707,cratoneurion
Q7376362,river source
Q7017640,Sources of the Jordan
Q69997952,springhead
Q8078936,Ölkelda
Q10607894,sacrificial spring
Q10701694,trefaldighetskälla
Q11922557,fonts de Guixers
Q11922558,fonts de Camprodon
Q12054316,sulphur spring
Q15517598,brine spring
Q20440019,Kászonszék borvízforrásai és gyógyfürdői
Q21029914,iconic source
Q25455522,"Izvoare de apa minerala din Lazareni
Q25456942,"Izvoare de apa minerala in Vrabia
Q25457524,"Izvoare de apa minerala din Sânsimion
Q25457527,"Izvoare si bai de apa minerala din Sântimbru
Q25458129,"Izvoare de apa minerala din Sâncrăieni
Q25459600,"Izvoare si bai de apa minerala din Ciucani
Q25459603,"Izvoare si bai de apa minerala din Sânmartin
Q25459610,"Izvoare si bai de apa minerala din Armășeni
Q25459611,"Izvoare de apa minerala din Ciucsângeorgiu
Q25459613,"Izvoare de apa minerala din Bancu
Q28723016,Csíkzsögöd borvízforrásai
Q28723256,Izvoare de apa minerala din Fitod
Q28723257,Izvoare si bai de apa minerala din Ghimes
