Q170321,"wetland"
Q30198,"marsh"
Q31455,"freshwater marsh"
Q4953717,"brackish marsh"
Q5598492,"grazing marsh"
Q13360421,"tidal marsh"
Q166735,"swamp"
Q2653463,""
Q7809986,"Titi swamp"
Q688784,"pocosin"
Q910817,"carr"
Q26269133,""
Q1681353,"bog"
Q72178,""
Q514050,"fen"
Q127314,"Coniferous swamp"
Q1250939,""
Q2593832,""
Q2779792,""
Q3401036,""
Q7553432,"sods"
Q13359600,"raised bog"
Q12300827,""
Q12335783,""
Q28605450,""
Q28530509,""
Q3240227,""
Q3515225,""
Q7541461,"slough"
Q10671833,"floodplain lake"
Q11177275,"riparian forest"
Q1311024,"tugay"
Q20905436,"Ramsar site"
Q28861769,"Ramsar site in Moldova"
Q34891928,"Wetland Management District"
Q36449705,"peatland"
